date,country,growth_score,inflation_score,liquidity_score,regime_raw,regime,regime_confidence,regime_note,liquidity_regime
1951-12-01,china,,,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1952-01-01,china,,,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1952-02-01,china,,0.0,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1952-03-01,china,,0.0,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1952-04-01,china,,0.0,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1952-05-01,china,,0.0,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1952-06-01,china,,0.0,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1952-07-01,china,,0.0,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1952-08-01,china,,0.0,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1952-09-01,china,,0.0,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1952-10-01,china,,0.0,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1952-11-01,china,,0.0,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1952-12-01,china,,-3.464101615137754,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1953-01-01,china,,-2.449489742783178,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1953-02-01,china,,-1.9999999999999998,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1953-03-01,china,,-1.7320508075688774,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1953-04-01,china,,-1.549193338482967,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1953-05-01,china,,-1.4142135623730947,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1953-06-01,china,,-1.3093073414159544,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1953-07-01,china,,-1.2247448713915892,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1953-08-01,china,,-1.1547005383792517,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1953-09-01,china,,-1.0954451150103321,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1953-10-01,china,,-1.044465935734187,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1953-11-01,china,,-1.0000000000000002,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1953-12-01,china,,-0.497313475081803,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1954-01-01,china,,-0.4853530269571116,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1954-02-01,china,,-0.4742159984321707,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1954-03-01,china,,-0.46381204751485006,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1954-04-01,china,,-0.45406412649549693,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1954-05-01,china,,-0.4449060679995661,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1954-06-01,china,,-0.43628068601773706,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
