series_id,source_used,row_count,latest_date,required_for_minimum_regime,status,ingested_at
cpi,eurozone_eurostat,302,2026-08-01,True,ready,2026-09-02 04:56:32.221166+00:00
growth_proxy,eurozone_eurostat,426,2026-06-01,True,ready,2026-09-02 04:56:32.221166+00:00
policy_rate,eurozone_ecb,10107,2026-09-02,True,ready,2026-09-02 04:56:32.221166+00:00
yield_10y,eurozone_ecb,680,2026-08-01,True,ready,2026-09-02 04:56:32.221166+00:00
industrial_production,eurozone_eurostat,426,2026-06-01,False,ready,2026-09-02 04:56:32.221166+00:00
core_cpi,eurozone_eurostat,290,2026-08-01,False,ready,2026-09-02 04:56:32.221166+00:00
unrate,eurozone_eurostat,0,,False,missing,2026-09-02 04:56:32.221166+00:00
m3,eurozone_ecb,559,2026-07-01,False,ready,2026-09-02 04:56:32.221166+00:00
equity_pe_proxy,siblis_market,55,2026-06-01,False,ready,2026-09-02 04:56:32.221166+00:00
shiller_pe_proxy,siblis_market,55,2026-06-01,False,ready,2026-09-02 04:56:32.221166+00:00
equity_pb_proxy,public_site,0,,False,missing,2026-09-02 04:56:32.221166+00:00
